iso	country	year	eq_tr	r_eq_tr	housing_tr	r_housing_tr	dc
FRA	France	1954	1.15856	1.15856	0.20701	0.20701	0.03056
FRA	France	1955	-0.03663	-0.04617	0.28556	0.27284	0.04434
FRA	France	1956	0.03151	0.00175	0.36678	0.32735	0.04837
FRA	France	1957	0.14294	0.09051	0.31685	0.25644	0.03715
FRA	France	1958	-0.08519	-0.20229	0.30130	0.13474	-0.00671
FRA	France	1959	0.26739	0.19115	0.28426	0.20701	0.01072
FRA	France	1960	-0.07178	-0.10541	0.29588	0.24893	0.04113
FRA	France	1961	0.04901	0.01946	0.21461	0.18040	0.04716
FRA	France	1962	-0.10588	-0.14788	0.22994	0.17216	0.05317
FRA	France	1963	-0.18257	-0.21925	0.30464	0.24610	0.05433
FRA	France	1964	-0.07981	-0.10838	0.30275	0.26229	0.04448
FRA	France	1965	-0.04782	-0.07650	0.27716	0.23869	0.03045
FRA	France	1966	-0.17162	-0.19548	0.16280	0.12931	0.03913
FRA	France	1967	-0.02192	-0.04848	0.11748	0.08713	0.04118
FRA	France	1968	0.17395	0.12293	0.13682	0.08741	0.03458
FRA	France	1969	0.23662	0.16612	0.16694	0.10041	0.05618
FRA	France	1970	-0.08762	-0.13354	0.10162	0.04617	0.03453
FRA	France	1971	-0.05679	-0.10509	0.12105	0.06364	0.04373
FRA	France	1972	0.16952	0.10267	0.15143	0.08561	0.04114
FRA	France	1973	-0.03170	-0.09826	0.16595	0.08581	0.04988
FRA	France	1974	-0.27135	-0.35886	0.20613	0.06127	0.02782
FRA	France	1975	0.31950	0.18144	0.17482	0.05190	0.01259
FRA	France	1976	-0.11293	-0.19082	0.21345	0.10690	0.04915
FRA	France	1977	-0.16803	-0.24017	0.20353	0.09917	0.02159
FRA	France	1978	0.62094	0.48369	0.16457	0.06597	0.03295
FRA	France	1979	0.09008	-0.01481	0.17869	0.06527	0.02352
FRA	France	1980	0.08802	-0.04192	0.24535	0.09662	0.00838
FRA	France	1981	-0.11161	-0.21600	0.15449	0.01884	0.01520
FRA	France	1982	0.10402	-0.01408	0.09997	-0.01769	0.02624
FRA	France	1983	0.58669	0.44957	0.09670	0.00192	0.00334
FRA	France	1984	0.14484	0.06325	0.08575	0.00837	0.00290
FRA	France	1985	0.37106	0.29552	0.08086	0.02130	0.01564
FRA	France	1986	0.38241	0.34819	0.09533	0.06822	0.03112
